RB -- Christine Michael -- SEA
RB -- Cierre Wood -- BUF
RB -- Corey Grant -- JAC
RB -- Damien Williams -- MIA
RB -- Dan Herron -- BUF
RB -- Dan Herron -- IND
RB -- Danny Woodhead -- SD
RB -- Darrel Young -- WAS
RB -- Darren McFadden -- DAL
RB -- Darren Sproles -- PHI
RB -- David Cobb -- TEN
RB -- David Johnson -- ARI
RB -- DeAngelo Williams -- PIT
RB -- DeMarco Murray -- PHI
RB -- Denard Robinson -- JAC
RB -- Derrick Coleman -- SEA
RB -- Devonta Freeman -- ATL
RB -- Dexter McCluster -- TEN
RB -- Dion Lewis -- NE
RB -- Donald Brown -- SD
RB -- Doug Martin -- TB
RB -- DuJuan Harris -- SEA
RB -- DuJuan Harris -- SF
RB -- Duke Johnson Jr. -- CLE
RB -- Eddie Lacy -- GB
RB -- Fitzgerald Toussaint -- PIT
RB -- Fozzy Whittaker -- CAR
RB -- Frank Gore -- IND
RB -- Fred Jackson -- SEA
RB -- George Winn -- DET
RB -- Giovani Bernard -- CIN
RB -- Glenn Winston -- CLE
RB -- Isaiah Crowell -- CLE
RB -- Isaiah Pead -- LA
RB -- Jacquizz Rodgers -- CHI
RB -- Jalston Fowler -- TEN
RB -- Jamaal Charles -- KC
RB -- James Starks -- GB
RB -- James White -- NE
RB -- Jamize Olawale -- OAK
RB -- Jarryd Hayne -- SF
RB -- Javorius Allen -- BAL
RB -- Jay Ajayi -- MIA
RB -- Jay Prosch -- HOU
RB -- Jeremy Hill -- CIN
RB -- Jeremy Langford -- CHI
RB -- Jerick McKinnon -- MIN
RB -- Jerome Felton -- BUF
RB -- Joey Iosefa -- NE
RB -- John Crockett -- GB
RB -- John Kuhn -- GB
RB -- Joique Bell -- DET
RB -- Jonas Gray -- JAC
RB -- Jonas Gray -- MIA
RB -- Jonathan Grimes -- HOU
RB -- Jonathan Stewart -- CAR
RB -- Jordan Todman -- PIT
RB -- Jorvorskie Lane -- TB
RB -- Joseph Randle -- DAL
RB -- Josh Robinson -- IND
RB -- Justin Forsett -- BAL
RB -- Juwan Thompson -- DEN
RB -- Ka'Deem Carey -- CHI
RB -- Karlos Williams -- BUF
RB -- Kendall Gaskins -- SF
RB -- Kendall Hunter -- NO
RB -- Kenjon Barner -- PHI
RB -- Kerwynn Williams -- ARI
RB -- Khiry Robinson -- NO
RB -- Knile Davis -- KC
RB -- Kyle Juszczyk -- BAL
RB -- Lamar Miller -- MIA
RB -- Lance Dunbar -- DAL
RB -- Latavius Murray -- OAK
RB -- Le'Veon Bell -- PIT
RB -- LeGarrette Blount -- NE
RB -- LeSean McCoy -- BUF
RB -- Lorenzo Taliaferro -- BAL
RB -- Malcolm Brown -- LA
RB -- Malcolm Johnson -- CLE
RB -- Marcel Reece -- OAK
RB -- Marcus Murphy -- NO
RB -- Mark Ingram -- NO
RB -- Marshawn Lynch -- SEA
RB -- Matt Asiata -- MIN
RB -- Matt Forte -- CHI
RB -- Matt Jones -- WAS
RB -- Melvin Gordon -- SD
RB -- Michael Burton -- DET
RB -- Mike Davis -- SF
RB -- Mike Gillislee -- BUF
RB -- Mike Tolbert -- CAR
RB -- Orleans Darkwa -- NYG
RB -- Patrick DiMarco -- ATL
RB -- Pierre Thomas -- SF
RB -- Pierre Thomas -- WAS
RB -- Rashad Jennings -- NYG
RB -- Reggie Bush -- SF
RB -- Rex Burkhead -- CIN
RB -- Robert Turbin -- CLE
RB -- Robert Turbin -- DAL
RB -- Rod Smith -- DAL
RB -- Rod Smith -- SEA
RB -- Ronnie Hillman -- DEN
RB -- Roosevelt Nix -- PIT
RB -- Roy Helu -- OAK
RB -- Ryan Hewitt -- CIN
RB -- Ryan Mathews -- PHI
RB -- Shane Vereen -- NYG
RB -- Shaun Draughn -- CLE
RB -- Shaun Draughn -- SF
RB -- Spencer Ware -- KC
RB -- Stepfan Taylor -- ARI
RB -- Stevan Ridley -- NYJ
RB -- Steven Jackson -- NE
RB -- T.J. Yeldon -- JAC
RB -- Taiwan Jones -- OAK
RB -- Terrance West -- BAL
RB -- Terrance West -- TEN
RB -- Terrence Magee -- BAL
RB -- Terron Ward -- ATL
RB -- Tevin Coleman -- ATL
RB -- Theo Riddick -- DET
RB -- Thomas Rawls -- SEA
RB -- Tim Hightower -- NO
RB -- Toby Gerhart -- JAC
RB -- Todd Gurley -- LA
RB -- Tommy Bohanon -- NYJ
RB -- Travaris Cadet -- NE
RB -- Travaris Cadet -- NO
RB -- Travaris Cadet -- SF
RB -- Tre Mason -- LA
RB -- Trey Williams -- IND
RB -- Tyler Clutts -- DAL
RB -- Tyler Varga -- IND
RB -- Will Johnson -- PIT
RB -- Will Tukuafu -- SEA
RB -- Zac Stacy -- NYJ
RB -- Zach Line -- MIN
RB -- Zach Zenner -- DET
RB -- Zurlon Tipton -- IND
TE -- Alex Smith -- WAS
TE -- Andrew Quarless -- GB
TE -- Anthony Fasano -- TEN
TE -- Antonio Gates -- SD
TE -- Asante Cleveland -- NE
TE -- Austin Seferian-Jenkins -- TB
TE -- Benjamin Watson -- NO
TE -- Blake Bell -- SF
TE -- Brandon Myers -- TB
TE -- Brandon Pettigrew -- DET
TE -- Brent Celek -- PHI
TE -- Brian Parker -- KC
TE -- C.J. Fiedorowicz -- HOU
TE -- C.J. Uzomah -- CIN
TE -- Cameron Brate -- TB
TE -- Charles Clay -- BUF
TE -- Chase Coffman -- SEA
TE -- Chase Coffman -- TEN
TE -- Chris Gragg -- BUF
TE -- Clay Harbor -- JAC
TE -- Clive Walford -- OAK
TE -- Coby Fleener -- IND
TE -- Cooper Helfet -- SEA
TE -- Cory Harkey -- LA
TE -- Craig Stevens -- TEN
TE -- Crockett Gillmore -- BAL
TE -- Daniel Brown -- BAL
TE -- Daniel Fells -- NYG
TE -- Darren Fells -- ARI
