1,RB,Mike Tolbert,CAR,3,2,1,12,0,2,1,6,0,0,0,
1,RB,Kyle Juszczyk,BAL,4,2,0,0,0,4,4,17,0,0,0,
1,RB,Jacquizz Rodgers,CHI,5,2,4,16,0,1,0,0,0,0,0,
1,RB,Bobby Rainey,TB,4,1,3,10,0,1,1,4,0,0,0,
1,RB,Andre Williams,NYG,6,1,6,14,0,0,0,0,0,0,0,
1,RB,Malcolm Johnson,CLE,2,1,0,0,0,2,2,14,0,0,0,
1,RB,Brandon Bolden,NE,7,1,5,1,0,2,1,12,0,0,0,
1,RB,Chris Thompson,WAS,4,1,3,11,0,1,0,0,0,0,0,
1,RB,Josh Robinson,IND,4,1,4,11,0,0,0,0,0,0,0,
1,RB,Austin Johnson,NO,4,1,1,4,0,3,2,5,0,0,0,
1,RB,Dexter McCluster,TEN,2,1,2,8,0,0,0,0,0,0,0,
1,RB,Reggie Bush,SF,3,1,2,8,0,1,0,0,0,0,0,
1,RB,Zach Zenner,DET,2,1,2,6,0,0,0,0,0,0,0,
1,RB,Corey Grant,JAC,1,0,0,0,0,1,1,5,0,0,0,
1,RB,Fozzy Whittaker,CAR,4,0,2,2,0,2,2,3,0,0,0,
1,RB,Thomas Rawls,SEA,2,0,2,5,0,0,0,0,0,0,0,
1,RB,Shaun Draughn,CLE,2,0,1,4,0,1,0,0,0,0,0,
1,RB,Bernard Pierce,JAC,2,0,0,0,0,2,1,4,0,0,0,
1,RB,Isaiah Pead,LA,2,0,2,3,0,0,0,0,0,1,0,
1,RB,Damien Williams,MIA,2,0,1,0,0,1,1,3,0,0,0,
1,RB,James Starks,GB,2,0,2,2,0,0,0,0,0,0,0,
1,RB,Tommy Bohanon,NYJ,2,0,2,2,0,0,0,0,0,0,0,
1,RB,Derrick Coleman,SEA,1,0,1,2,0,0,0,0,0,0,0,
1,RB,Jeremy Langford,CHI,1,0,1,1,0,0,0,0,0,0,0,
1,RB,Ryan Hewitt,CIN,1,0,0,0,0,1,0,0,0,0,0,
1,RB,Darrel Young,WAS,1,0,0,0,0,1,1,0,0,0,0,
1,RB,Anthony Sherman,KC,1,0,0,0,0,1,1,0,0,0,0,
1,RB,Jorvorskie Lane,TB,1,0,1,0,0,0,0,0,0,0,0,
1,RB,Jerome Felton,BUF,1,0,0,0,0,1,0,0,0,0,0,
2,RB,DeAngelo Williams,PIT,25,27,20,77,3,5,4,15,0,0,0,
2,RB,Matt Jones,WAS,22,27,19,123,2,3,3,23,0,1,0,
2,RB,Dion Lewis,NE,16,20,7,40,1,9,6,98,0,1,0,
2,RB,Adrian Peterson,MIN,31,19,29,134,0,2,2,58,0,1,0,
2,RB,Jamaal Charles,KC,26,19,21,125,1,5,4,2,0,2,0,
2,RB,Latavius Murray,OAK,18,15,15,65,1,3,3,22,0,0,0,
2,RB,Giovani Bernard,CIN,23,14,20,123,0,3,3,16,0,0,0,
2,RB,Isaiah Crowell,CLE,15,13,15,72,1,0,0,0,0,0,0,
2,RB,Dexter McCluster,TEN,14,12,10,98,0,4,4,26,0,0,0,
2,RB,Devonta Freeman,ATL,20,12,12,25,1,8,4,34,0,0,0,
2,RB,Mark Ingram,NO,19,12,16,53,1,3,3,5,0,1,0,
2,RB,LeSean McCoy,BUF,19,12,15,89,0,4,3,27,0,0,0,
2,RB,James Starks,GB,24,11,20,95,0,4,4,11,0,1,0,
