4,PK,Cairo Santos,KC,21,7,0,0,0,
4,PK,Chandler Catanzaro,ARI,16,5,0,1,0,
4,PK,Travis Coons,CLE,13,4,0,1,0,
4,PK,Graham Gano,CAR,13,3,0,4,0,
4,PK,Josh Lambo,SD,12,3,0,3,0,
4,PK,Brandon McManus,DEN,11,3,0,2,0,
4,PK,Dustin Hopkins,WAS,11,3,0,2,0,
4,PK,Justin Tucker,BAL,11,3,0,2,0,
4,PK,Robbie Gould,CHI,10,3,0,1,1,
4,PK,Adam Vinatieri,IND,10,3,0,1,0,
4,PK,Nick Folk,NYJ,9,2,1,3,0,
4,PK,Josh Scobee,PIT,8,2,2,2,0,
4,PK,Zach Hocker,NO,8,2,1,2,0,
4,PK,Sebastian Janikowski,OAK,8,2,0,2,0,
4,PK,Blair Walsh,MIN,8,2,1,2,0,
4,PK,Dan Bailey,DAL,8,2,0,2,0,
4,PK,Steven Hauschka,SEA,7,2,0,1,0,
4,PK,Jason Myers,JAC,7,2,2,1,0,
4,PK,Matt Bryant,ATL,6,0,0,6,0,
4,PK,Greg Zuerlein,LA,6,1,0,3,0,
4,PK,Kyle Brindza,TB,5,1,2,2,1,
4,PK,Mason Crosby,GB,5,1,1,2,0,
4,PK,Mike Nugent,CIN,4,0,1,4,0,
4,PK,Josh Brown,NYG,4,1,0,1,1,
4,PK,Matt Prater,DET,4,1,0,1,0,
4,PK,Dan Carpenter,BUF,4,1,1,1,0,
4,PK,Phil Dawson,SF,3,1,0,0,0,
4,PK,Nick Novak,HOU,3,0,1,3,0,
4,PK,Andrew Franks,MIA,2,0,0,2,0,
4,PK,Caleb Sturgis,PHI,2,0,1,2,1,
4,PK,Jordan Gay,BUF,0,0,0,0,0,
5,PK,Caleb Sturgis,PHI,15,4,0,3,1,
5,PK,Travis Coons,CLE,13,4,0,1,0,
5,PK,Connor Barth,TB,12,3,0,3,0,
5,PK,Josh Brown,NYG,12,3,0,3,0,
5,PK,Stephen Gostkowski,NE,12,3,0,3,0,
