3,DF,Pittsburgh,PIT,4,2,0,1,0,0,71,197,268,
3,DF,San Francisco,SF,3,1,0,1,0,0,139,311,450,
3,DF,New York,NYJ,3,1,1,0,0,0,123,118,241,
3,DF,Tampa Bay,TB,3,1,0,1,0,0,186,228,414,
3,DF,Cincinnati,CIN,2,0,0,1,0,0,36,362,398,
3,DF,Jacksonville,JAC,2,2,0,0,0,0,125,358,483,
3,DF,San Diego,SD,2,0,0,1,0,0,163,121,284,
3,DF,Cleveland,CLE,2,0,1,0,0,0,155,314,469,
3,DF,Houston,HOU,2,0,0,1,0,0,57,261,318,
3,DF,Dallas,DAL,1,1,0,0,0,0,158,285,443,
3,DF,Kansas City,KC,1,1,0,0,0,0,123,333,456,
3,DF,Miami,MIA,0,0,0,0,0,0,151,277,428,
4,DF,Carolina,CAR,24,2,1,4,2,0,141,287,428,
4,DF,Atlanta,ATL,21,1,3,1,2,0,54,382,436,
4,DF,Detroit,DET,18,6,3,0,1,0,110,287,397,
4,DF,Los Angeles,LA,10,4,2,1,0,0,113,352,465,
4,DF,Oakland,OAK,9,3,2,1,0,0,98,281,379,
4,DF,Pittsburgh,PIT,9,5,1,1,0,0,191,186,377,
4,DF,Denver,DEN,9,7,1,0,0,0,113,269,382,
4,DF,Washington,WAS,9,5,2,0,0,0,87,270,357,
4,DF,Green Bay,GB,8,6,0,1,0,0,77,160,237,
4,DF,New York,NYJ,7,3,0,2,0,0,59,198,257,
4,DF,Cincinnati,CIN,7,5,1,0,0,0,113,386,499,
4,DF,Jacksonville,JAC,7,3,2,0,0,0,60,282,342,
4,DF,Chicago,CHI,6,2,1,1,0,0,70,196,266,
4,DF,Minnesota,MIN,6,2,0,2,0,0,144,213,357,
4,DF,New York,NYG,6,2,1,1,0,0,55,274,329,
4,DF,San Diego,SD,6,4,1,0,0,0,100,356,456,
4,DF,Baltimore,BAL,4,4,0,0,0,0,167,124,291,
4,DF,Tampa Bay,TB,4,2,1,0,0,0,133,124,257,
4,DF,Buffalo,BUF,3,1,0,1,0,0,92,212,304,
4,DF,New Orleans,NO,3,3,0,0,0,0,115,246,361,
4,DF,San Francisco,SF,3,3,0,0,0,0,162,224,386,
4,DF,Philadelphia,PHI,3,1,1,0,0,0,127,290,417,
4,DF,Dallas,DAL,3,3,0,0,0,0,103,359,462,
4,DF,Houston,HOU,2,2,0,0,0,0,135,256,391,
4,DF,Miami,MIA,2,0,0,1,0,0,207,218,425,
4,DF,Cleveland,CLE,2,2,0,0,0,0,91,358,449,
4,DF,Arizona,ARI,1,1,0,0,0,0,164,171,335,
4,DF,Indianapolis,IND,1,1,0,0,0,0,142,298,440,
4,DF,Kansas City,KC,0,0,0,0,0,0,124,321,445,
4,DF,Seattle,SEA,0,0,0,0,0,0,53,203,256,
5,DF,Green Bay,GB,17,3,0,4,1,0,191,161,352,
5,DF,Atlanta,ATL,17,1,0,2,2,0,51,219,270,
5,DF,Denver,DEN,16,4,2,1,1,0,65,249,314,
5,DF,Tampa Bay,TB,16,6,1,1,1,0,55,303,358,
5,DF,Seattle,SEA,14,4,1,1,1,0,109,331,440,
5,DF,Philadelphia,PHI,13,5,3,1,0,0,96,335,431,
5,DF,Arizona,ARI,13,1,2,4,0,0,56,379,435,
5,DF,Pittsburgh,PIT,12,2,1,1,1,0,52,365,417,
5,DF,Kansas City,KC,10,2,1,0,1,0,87,252,339,
5,DF,Washington,WAS,9,3,1,2,0,0,176,254,430,
5,DF,Los Angeles,LA,8,2,1,2,0,0,86,241,327,
5,DF,New England,NE,7,3,1,1,0,0,100,188,288,
5,DF,Oakland,OAK,6,2,0,2,0,0,43,266,309,
5,DF,Cincinnati,CIN,6,4,0,1,0,0,200,213,413,
5,DF,Tennessee,TEN,6,4,1,0,0,0,127,113,240,
5,DF,Indianapolis,IND,5,1,0,2,0,0,82,362,444,
5,DF,San Diego,SD,5,3,0,1,0,0,155,203,358,
5,DF,Dallas,DAL,5,5,0,0,0,0,109,275,384,
